isco2d,all
11,0
12,0
13,0
14,0.25
21,0
22,0
23,0
24,0
25,0
26,0.75
31,0
32,0
33,0
34,0.75
35,0
41,0
42,0
43,0
44,0
51,0.5
52,0.75
53,0
54,0
61,0
62,0
63,0
71,0
72,0
73,0
74,0
75,0
81,0
82,0
83,0
91,0
92,0
93,0
94,0
95,0.75
96,0
