isco1d,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
1,0.741176665,0.790889978,0.796860635,0.760784626,0.811395347,0.764545858,0.802197814,0.808883786,0.724901974,0.762692332,0.828264654,0.757880807,0.654041409,0.647676766,0.757029653,0.670560658,0.587296605,0.802835226,0.881957591,0.834213436,,0.815411389,0.802226067,0.830687404,0.703831971,0.79893285,0.797073901,0.847703218,0.721560895,0.708882391
2,0.705535412,0.724594891,0.723594069,0.770032167,0.77143091,0.755315781,0.754698396,0.75605619,0.838226318,0.714980185,0.826090515,0.777635634,0.763698339,0.757104039,0.812142074,0.686793268,0.81206578,0.778481603,0.839895189,0.782145917,,0.765063643,0.705624282,0.76151669,0.739856839,0.695131361,0.756552458,0.782563508,0.786882222,0.755441546
3,0.582667232,0.497014225,0.581806004,0.474214882,0.672479272,0.517219126,0.438071817,0.628715277,0.554319501,0.622295737,0.430579782,0.459698409,0.512557685,0.518210411,0.520350277,0.487969398,0.52810806,0.535042048,0.671178699,0.58984077,,0.483034641,0.525938511,0.5014081,0.615628362,0.528564274,0.599460244,0.523618937,0.452388257,0.566079319
4,0.736409187,0.628600061,0.559362471,0.799901068,0.692563891,0.637289226,0.499547005,0.712835312,0.400244743,0.591629624,0.596996903,0.717137933,0.728815019,0.613994777,0.61042136,0.544182479,0.680799663,0.488439739,0.674362242,0.453345716,,0.544420958,0.555159867,0.621483326,0.653739274,0.620660782,0.524981081,0.640093088,0.550541162,0.477048218
5,0.147123441,0.166509137,0.111351632,0.116509363,0.145829067,0.11987596,0.143022925,0.221962601,0.105230756,0.114571273,0.201475605,0.231122047,0.151225537,0.130206332,0.183692053,0.193487987,0.116129085,0.150446326,0.199132502,0.152740404,,0.16638051,0.234997958,0.10434135,0.160319358,0.128421858,0.172543392,0.102287255,0.131587267,0.215490669
6,0.10827788,0.060475174,0.046037596,0.084310934,0.079293445,0.121382043,0.076684237,0.109233081,0.133614272,0.080914095,0.107810035,0.080460928,0.052164853,0.110817403,0.094886467,0.10588932,0.063587502,0.110055313,0.068869762,0.08740785,,0.088455833,0.164867327,0.037458289,0.081929684,0.11347571,0.096079208,0.042617004,0.102318019,0.088143542
7,0.010421497,0.009972602,0.016841618,0.015301026,0.00912327,0.011438533,0.012061061,0.008322476,0.009841678,0.008710681,0.006882865,0.011283437,0.012328401,0.009802065,0.012448181,0.009031579,0.012499875,0.01219386,0.006813574,0.010532569,,0.012402946,0.007260541,0.014639199,0.015515573,0.010457813,0.008137517,0.016169855,0.013897819,0.012917751
8,0.024886131,0.021092527,0.011380238,0.025980331,0.037478797,0.02652932,0.01446101,0.014788715,0.021042114,0.024513964,0.019462854,0.018933218,0.037776992,0.022292668,0.015904769,0.022320766,0.013438085,0.026781326,0.04205228,0.030033987,,0.01389718,0.022200335,0.012456042,0.01411685,0.033575073,0.024232643,0.008439958,0.016574888,0.026376305
9,0.018509736,0.020268163,0.033427261,0.00858974,0.015152947,0.014066457,0.023671972,0.031287506,0.03353766,0.01878261,0.024344852,0.019097988,0.020466588,0.015942976,0.041531377,0.023579562,0.023433154,0.031040221,0.007789833,0.039630532,,0.039234187,0.010293623,0.019543704,0.021417083,0.018645225,0.015032033,0.013703524,0.061061349,0.032689098
