isco2d,AT,BE,BG,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,UK
74,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0.015066749,0,0,0,0,,0,0,,0,0,0,,0,0
75,0.025544683,0.027337266,,0.023651985,0.016753471,0.03623762,0.03194527,0.016324963,0.019653052,0.014009213,0.018243292,0.022562979,0.013704992,0.018004909,0.029089691,0,0.021120144,0.022143034,0.019613367,0.02063938,,0.025607742,0.045869049,,0.028610541,0.024960127,0.027452178,,0.0462511,0.044780545
81,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0
82,0,0,,0,0.048776306,0,0,0,0,0,0,0,0,0,0,0.036368743,0,0,0,0,,0,0,,0,0,0,,0,0
83,0.039301615,0.037318446,,0.040930696,0,0.05227223,0.026886404,0.025392029,0.039813962,0.040350981,0.031857159,0.03357308,0.050072119,0.042476386,0.039938584,0,0.028500527,0.042984761,0.055722535,0.04005266,,0.019783506,0.03409946,,0.031642102,0.059838325,0.038296126,,0.041639931,0.036430933
91,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0
92,0,0,,0,0.03364915,0,0,0,0,0,0,0,0,0,0,0.046797674,0,0,0,0,,0,0,,0,0,0,,0,0
93,0.039658308,0.062694952,,0.012068087,0,0.011416211,0.04688324,0.065749578,0.032029144,0.048617937,0.062465005,0.066071294,0.024274226,0.011046604,0.036212161,0,0.063746616,0.052348211,0.020063231,0.022089703,,0.076163873,0.009677783,,0.036597233,0.025062339,0.037794221,,0.02430558,0.061951049
94,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,,0,0
95,0,0,,0,,,,,,0,,,,,,,,,,,,0,0,,0,0,,,,0
96,0.077891298,0.086653076,,0.061371915,0.084532171,0.08555305,0.061554477,0.064642087,0.1156234,0.100156687,0.05835082,0.065651469,0.109512195,0.109929122,0.179905742,0.051771026,0.068253152,0.074726276,0.056918401,0.157303095,,0.060263917,0.066257894,,0.081087902,0.085472062,0.060822744,,0.191613019,0.057393659
